OBJECTID,agency,comments,mapmethod,datecurrent,uniquefireidentifier,fireyear,incidentname,pooownerunit,perimeterdatetime,gisacres,complexname,firecode,complexparentirwinid,pooresponsibleunit,state,inciwebid,localincidentidentifier,irwinid,incomplex,complexfirecode,SHAPE_Length,SHAPE_Area
8,USFS,Event Standard Perims,Mixed Methods,2018/08/06 00:00:00+00,2018-CALNF-003951,2018,WHALEBACK,CALNF,2018/08/05 22:54:00+00,18701.89841214,,L1VS,,CALNF,CA,6048,003951,{759B9749-822D-433D-8A84-9774BC8297E2},N,,0.501151091279726,0.00805555819526845
11,State Agency,From CalFire,Unknown,2014/06/23 00:00:00+00,2013-CALNU-006887,2013,DOUBLE,,2013/08/16 00:00:00+00,64.27366625,,HV0F,,CALNU,CA,,006887,,N,,0.0241674863954321,2.70536074533066e-05
19,C&L,Event Standard Perims,Unknown,2017/12/28 00:00:00+00,2017-CAVNC-103156,2017,THOMAS,CAVNC,2017/12/27 18:01:00+00,281893.7569724,,LH77,,CAVNC,CA,5670,103156,{943D8086-7DF4-47C7-BB98-A358E962667E},N,,4.42500496911263,0.111908502502978
65,USFS,FIMT,Unknown,2016/09/20 00:00:00+00,2016-CAMDF-000909,2016,SOUP 5,,2016/09/19 09:45:00+00,0.08684921,SOUP COMPLEX,,{FDE55600-550F-4A2C-ADF6-72B4A2E3F012},CAMDF,CA,,000909,{0112A995-F853-46AD-8F9A-A8448473D732},Y,,0.000871517146911553,3.77766784659967e-08
73,CDF,FIMT,Unknown,2018/02/23 00:00:00+00,2018-CABDU-002752,2018,PLEASANT,CABDU,2018/02/23 00:00:00+00,2076.56813887,,LK8K,,CABDU,CA,,002752,{595595CC-7CDB-4607-B19C-2D631CA9A6F7},N,,0.397187111811819,0.000855263987625162
77,CDF,FIMT,Unknown,2016/08/24 00:00:00+00,2016-CAHUU-006956,2016,TULLY 2,CANCA,2016/08/23 23:00:00+00,489.74588361,,KM75,,CAHUU,CA,,006956,{CF18C6C2-DFBC-48A5-9509-C800DDCAD4BD},N,,0.087904478711366,0.000213016830924282
83,CDF,FIMT,Unknown,2016/08/15 00:00:00+00,2016-CAHUU-006623,2016,STAFFORD,,2016/08/12 16:38:00+00,24.02524213,,KLZ8,,CAHUU,CA,,006623,{18856779-5AED-4825-87D9-F32FFFB5E073},N,,0.0259052885758517,1.03232489917787e-05
87,NPS,WFDSS,Hand Sketch,2017/08/21 00:00:00+00,2017-CAYNP-000094,2017,Yosemite Creek,CAYNP,2017/08/12 00:00:00+00,1.89277209,,K8W8,,CAYNP,CA,,000094,{5E90A1EC-9EDA-4299-B07E-7EB20DFCFA57},N,,0.00333848840848237,7.84018308298181e-07
92,USFS,WFDSS,GPS-Walked/ Driven,2016/09/19 00:00:00+00,2016-CASTF-002609,2016,OLD,CAPRI,2016/09/14 15:59:59+00,149.53107398,,KQA6,,CASTF,CA,,002609,{B3651F81-5EFB-421E-AD76-641458C424F5},N,,0.0422972739862936,6.18657656417932e-05
110,C&L,Event Standard Perims,Unknown,2018/01/08 00:00:00+00,2017-CAVNC-103156,2017,THOMAS,CAVNC,2018/01/07 00:00:00+00,281795.83235494,,LH77,,CAVNC,CA,5670,103156,{943D8086-7DF4-47C7-BB98-A358E962667E},N,,4.47425071357965,0.111869623591328
