Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,year
CA-001,Alameda County,14.53,33,-4.22,18.75,2011
CA-003,Alpine County,33.58,60,-2.56,36.14,2011
CA-005,Amador County,33.13,60,-2.1,35.23,2011
CA-007,Butte County,38.73,48,-5.68,44.41,2011
CA-009,Calaveras County,32.11,58,-2.16,34.27,2011
CA-011,Colusa County,22.35,70,0.35,22,2011
CA-013,Contra Costa County,15.69,41,-2.8,18.49,2011
CA-015,Del Norte County,67.35,36,-12.64,79.99,2011
CA-017,El Dorado County,41.67,60,-2.97,44.64,2011
CA-019,Fresno County,17.62,57,-1.98,19.6,2011
CA-021,Glenn County,22.55,46,-3.33,25.88,2011
CA-023,Humboldt County,51.17,32,-12.22,63.39,2011
CA-025,Imperial County,2.53,44,-0.85,3.38,2011
CA-027,Inyo County,3.92,25,-2.32,6.24,2011
CA-029,Kern County,6.71,38,-2.34,9.05,2011
CA-031,Kings County,6.98,56,-0.63,7.61,2011
CA-033,Lake County,37.29,46,-6.17,43.46,2011
CA-035,Lassen County,16.68,37,-3.72,20.4,2011
CA-037,Los Angeles County,12.03,45,-3.53,15.56,2011
CA-039,Madera County,20.05,49,-3.07,23.12,2011
CA-041,Marin County,28.49,34,-6.99,35.48,2011
CA-043,Mariposa County,28.19,51,-4.62,32.81,2011
CA-045,Mendocino County,42.9,35,-8.71,51.61,2011
CA-047,Merced County,10.04,54,-1.23,11.27,2011
CA-049,Modoc County,14.61,29,-3.46,18.07,2011
CA-051,Mono County,13.92,50,-1.71,15.63,2011
CA-053,Monterey County,20.3,72,0.2,20.1,2011
CA-055,Napa County,27.53,51,-3.57,31.1,2011
CA-057,Nevada County,43.47,44,-6.9,50.37,2011
CA-059,Orange County,9.47,39,-4.08,13.55,2011
CA-061,Placer County,40.14,49,-5.63,45.77,2011
CA-063,Plumas County,35.98,46,-5.23,41.21,2011
CA-065,Riverside County,6.34,43,-2.15,8.49,2011
CA-067,Sacramento County,17.39,56,-1.3,18.69,2011
CA-069,San Benito County,17.41,78,0.67,16.74,2011
CA-071,San Bernardino County,4.77,32,-2.09,6.86,2011
CA-073,San Diego County,12.78,68,-1.51,14.29,2011
CA-075,San Francisco County,21.16,44,-3.14,24.3,2011
CA-077,San Joaquin County,11.61,41,-2.44,14.05,2011
CA-079,San Luis Obispo County,15.48,61,-1.68,17.16,2011
CA-081,San Mateo County,22.94,38,-5.72,28.66,2011
CA-083,Santa Barbara County,16.36,58,-2.48,18.84,2011
CA-085,Santa Clara County,19.71,44,-3.4,23.11,2011
CA-087,Santa Cruz County,28.46,50,-4.59,33.05,2011
CA-089,Shasta County,35.57,41,-6.37,41.94,2011
CA-091,Sierra County,40.07,50,-5.68,45.75,2011
CA-093,Siskiyou County,31.04,28,-7.77,38.81,2011
CA-095,Solano County,17.16,48,-2.63,19.79,2011
CA-097,Sonoma County,32.85,33,-9.17,42.02,2011
CA-099,Stanislaus County,11.89,50,-1.76,13.65,2011
CA-101,Sutter County,18.17,58,-0.81,18.98,2011
CA-103,Tehama County,29.58,35,-6.93,36.51,2011
CA-105,Trinity County,46.77,35,-10.72,57.49,2011
CA-107,Tulare County,17.94,45,-3.9,21.84,2011
CA-109,Tuolumne County,38.92,60,-1.92,40.84,2011
CA-111,Ventura County,16.52,52,-3.89,20.41,2011
CA-113,Yolo County,18.92,61,-1.09,20.01,2011
CA-115,Yuba County,33.62,52,-4.11,37.73,2011
CA-001,Alameda County,20.78,83,2.03,18.75,2012
CA-003,Alpine County,35.65,73,-0.49,36.14,2012
CA-005,Amador County,40.6,86,5.37,35.23,2012
CA-007,Butte County,53.46,98,9.05,44.41,2012
CA-009,Calaveras County,37.79,81,3.52,34.27,2012
CA-011,Colusa County,29.95,110,7.95,22,2012
CA-013,Contra Costa County,23.25,99,4.76,18.49,2012
CA-015,Del Norte County,102.62,113,22.63,79.99,2012
CA-017,El Dorado County,52.88,95,8.24,44.64,2012
CA-019,Fresno County,16.34,45,-3.26,19.6,2012
CA-021,Glenn County,28.93,84,3.05,25.88,2012
CA-023,Humboldt County,74.5,97,11.11,63.39,2012
CA-025,Imperial County,2.48,43,-0.9,3.38,2012
CA-027,Inyo County,4.06,27,-2.18,6.24,2012
CA-029,Kern County,5.81,19,-3.24,9.05,2012
CA-031,Kings County,5.6,38,-2.01,7.61,2012
CA-033,Lake County,53.91,98,10.45,43.46,2012
CA-035,Lassen County,21.64,78,1.24,20.4,2012
CA-037,Los Angeles County,9.31,25,-6.25,15.56,2012
CA-039,Madera County,20.75,58,-2.37,23.12,2012
CA-041,Marin County,44.26,100,8.78,35.48,2012
CA-043,Mariposa County,29.99,58,-2.82,32.81,2012
CA-045,Mendocino County,59.58,91,7.97,51.61,2012
CA-047,Merced County,10.16,59,-1.11,11.27,2012
CA-049,Modoc County,17.61,62,-0.46,18.07,2012
CA-051,Mono County,14.18,57,-1.45,15.63,2012
CA-053,Monterey County,19.94,70,-0.16,20.1,2012
CA-055,Napa County,39.43,102,8.33,31.1,2012
CA-057,Nevada County,62.85,105,12.48,50.37,2012
CA-059,Orange County,8.62,29,-4.93,13.55,2012
CA-061,Placer County,54.97,97,9.2,45.77,2012
CA-063,Plumas County,52.28,103,11.07,41.21,2012
CA-065,Riverside County,6.21,39,-2.28,8.49,2012
CA-067,Sacramento County,22.58,96,3.89,18.69,2012
CA-069,San Benito County,16.7,67,-0.04,16.74,2012
CA-071,San Bernardino County,5.06,38,-1.8,6.86,2012
CA-073,San Diego County,9.8,30,-4.49,14.29,2012
CA-075,San Francisco County,30.87,100,6.57,24.3,2012
CA-077,San Joaquin County,15.68,84,1.63,14.05,2012
CA-079,San Luis Obispo County,13.9,48,-3.26,17.16,2012
CA-081,San Mateo County,33.17,88,4.51,28.66,2012
CA-083,Santa Barbara County,12.51,28,-6.33,18.84,2012
CA-085,Santa Clara County,25.16,83,2.05,23.11,2012
CA-087,Santa Cruz County,36.02,81,2.97,33.05,2012
CA-089,Shasta County,50.76,101,8.82,41.94,2012
CA-091,Sierra County,54.97,96,9.22,45.75,2012
