county_name,county,year,age_group,numerator,rate,total_pop,pop_density,housing_density
Alameda,06001,2015,Under 18,3426,96.7,1510271,2043.6,788.3
Amador,06005,2015,Under 18,45,85.1,38091,64.1,30.3
Butte,06007,2015,Under 18,308,68.7,220000,134.4,58.6
Calaveras,06009,2015,Under 18,46,63,45578,44.7,27.4
Colusa,06011,2015,Under 18,48,77,21419,18.6,6.9
Contra Costa,06013,2015,Under 18,2330,95.2,1049025,1465.2,559.1
Del Norte,06015,2015,Under 18,49,85.2,28610,28.4,11.1
El Dorado,06017,2015,Under 18,170,46.8,181058,106,51.6
Fresno,06019,2015,Under 18,4482,156,930450,156.2,53
Glenn,06021,2015,Under 18,39,51.8,28122,21.4,8.2
Humboldt,06023,2015,Under 18,153,59.3,134623,37.7,17.3
Imperial,06025,2015,Under 18,737,140.1,174528,41.8,13.4
Inyo,06027,2015,Under 18,33,92,18546,1.8,0.9
Kern,06029,2015,Under 18,2566,96.8,839631,103.3,35
Kings,06031,2015,Under 18,615,143.4,152982,110.1,31.6
Lake,06033,2015,Under 18,115,90.6,64665,51.5,28.2
Lassen,06035,2015,Under 18,33,59.7,34895,7.7,2.8
Los Angeles,06037,2015,Under 18,20540,88.7,9818605,2419.6,849
Madera,06039,2015,Under 18,586,133,150865,70.6,23
Marin,06041,2015,Under 18,167,33.5,252409,485.1,213.7
Mendocino,06045,2015,Under 18,130,69,87841,25.1,11.5
Merced,06047,2015,Under 18,1110,139.8,255793,132.2,43.3
Modoc,06049,2015,Under 18,19,100.1,9686,2.5,1.3
Mono,06051,2015,Under 18,16,52.7,14202,4.7,4.6
Monterey,06053,2015,Under 18,970,84.2,415057,126.5,42.4
Napa,06055,2015,Under 18,190,62.5,136484,182.4,73.2
Nevada,06057,2015,Under 18,79,47.9,98764,103.1,54.9
Orange,06059,2015,Under 18,4279,59.7,3010232,3807.7,1326.8
Placer,06061,2015,Under 18,337,41.5,348432,247.6,108.5
Plumas,06063,2015,Under 18,21,65.2,20007,7.8,6.1
Riverside,06065,2015,Under 18,3917,64.9,2189641,303.8,111.1
Sacramento,06067,2015,Under 18,3285,90.8,1418788,1470.8,576.3
San Benito,06069,2015,Under 18,115,76.6,55269,39.8,12.9
San Bernardino,06071,2015,Under 18,5019,87.7,2035210,101.5,34.9
San Diego,06073,2015,Under 18,4616,62.1,3095313,735.8,276.9
San Francisco,06075,2015,Under 18,850,64.9,805235,17179.2,8041.8
San Joaquin,06077,2015,Under 18,1868,95.1,685306,492.6,168
San Luis Obispo,06079,2015,Under 18,321,65,269637,81.7,35.6
San Mateo,06081,2015,Under 18,826,49.5,718451,1602.2,604.4
Santa Barbara,06083,2015,Under 18,689,70,423895,155,55.9
Santa Clara,06085,2015,Under 18,1976,44.1,1781642,1381,489.8
Santa Cruz,06087,2015,Under 18,343,60.8,262382,589.4,234.7
Shasta,06089,2015,Under 18,300,78.1,177223,46.9,20.5
Siskiyou,06093,2015,Under 18,43,50.4,44900,7.2,3.8
Solano,06095,2015,Under 18,1141,119.4,413344,503,185.8
Sonoma,06097,2015,Under 18,586,56.9,483878,307.1,129.8
Stanislaus,06099,2015,Under 18,1236,85.8,514453,344.2,120.1
Sutter,06101,2015,Under 18,121,47.5,94737,157.3,56.2
Tehama,06103,2015,Under 18,128,85.3,63463,21.5,9.1
Tulare,06107,2015,Under 18,1264,85.5,442179,91.7,29.4
Tuolumne,06109,2015,Under 18,54,60.9,55365,24.9,14.1
Ventura,06111,2015,Under 18,1271,62.7,823318,446.7,152.8
Yolo,06113,2015,Under 18,291,67.7,200849,197.9,74
Yuba,06115,2015,Under 18,131,62.5,72155,114.2,43.7
Alameda,06001,2014,Under 18,3590,101.8,1510271,2043.6,788.3
Amador,06005,2014,Under 18,46,81.1,38091,64.1,30.3
Butte,06007,2014,Under 18,298,66.3,220000,134.4,58.6
Calaveras,06009,2014,Under 18,66,87.3,45578,44.7,27.4
Colusa,06011,2014,Under 18,39,63.7,21419,18.6,6.9
Contra Costa,06013,2014,Under 18,2371,96.1,1049025,1465.2,559.1
Del Norte,06015,2014,Under 18,46,81.4,28610,28.4,11.1
El Dorado,06017,2014,Under 18,201,54,181058,106,51.6
Fresno,06019,2014,Under 18,4368,154.5,930450,156.2,53
Glenn,06021,2014,Under 18,41,53.5,28122,21.4,8.2
Humboldt,06023,2014,Under 18,161,62.1,134623,37.7,17.3
Imperial,06025,2014,Under 18,771,149.6,174528,41.8,13.4
Inyo,06027,2014,Under 18,34,94.3,18546,1.8,0.9
Kern,06029,2014,Under 18,2549,98.7,839631,103.3,35
Kings,06031,2014,Under 18,587,138.8,152982,110.1,31.6
Lake,06033,2014,Under 18,114,89.3,64665,51.5,28.2
Lassen,06035,2014,Under 18,37,65.4,34895,7.7,2.8
Los Angeles,06037,2014,Under 18,20767,89.7,9818605,2419.6,849
Madera,06039,2014,Under 18,602,138.8,150865,70.6,23
Marin,06041,2014,Under 18,219,43.4,252409,485.1,213.7
Mendocino,06045,2014,Under 18,141,74.9,87841,25.1,11.5
Merced,06047,2014,Under 18,1048,132.6,255793,132.2,43.3
Modoc,06049,2014,Under 18,15,74.9,9686,2.5,1.3
Mono,06051,2014,Under 18,11,NA,14202,4.7,4.6
Monterey,06053,2014,Under 18,931,81,415057,126.5,42.4
Napa,06055,2014,Under 18,196,64.5,136484,182.4,73.2
Nevada,06057,2014,Under 18,66,39.1,98764,103.1,54.9
Orange,06059,2014,Under 18,4044,56.7,3010232,3807.7,1326.8
Placer,06061,2014,Under 18,330,40.3,348432,247.6,108.5
Plumas,06063,2014,Under 18,23,70.6,20007,7.8,6.1
Riverside,06065,2014,Under 18,3947,65.6,2189641,303.8,111.1
Sacramento,06067,2014,Under 18,3239,89.7,1418788,1470.8,576.3
San Benito,06069,2014,Under 18,117,77,55269,39.8,12.9
San Bernardino,06071,2014,Under 18,5171,90.4,2035210,101.5,34.9
San Diego,06073,2014,Under 18,4571,61.8,3095313,735.8,276.9
San Francisco,06075,2014,Under 18,860,68.3,805235,17179.2,8041.8
San Joaquin,06077,2014,Under 18,1781,90.9,685306,492.6,168
San Luis Obispo,06079,2014,Under 18,271,54.7,269637,81.7,35.6
San Mateo,06081,2014,Under 18,867,51.9,718451,1602.2,604.4
Santa Barbara,06083,2014,Under 18,673,68.8,423895,155,55.9
Santa Clara,06085,2014,Under 18,1853,41.5,1781642,1381,489.8
Santa Cruz,06087,2014,Under 18,375,67,262382,589.4,234.7
Shasta,06089,2014,Under 18,312,81.3,177223,46.9,20.5
Siskiyou,06093,2014,Under 18,46,53,44900,7.2,3.8
Solano,06095,2014,Under 18,1095,113.9,413344,503,185.8
Sonoma,06097,2014,Under 18,572,55.2,483878,307.1,129.8
Stanislaus,06099,2014,Under 18,1359,94.4,514453,344.2,120.1
Sutter,06101,2014,Under 18,125,49.3,94737,157.3,56.2
Tehama,06103,2014,Under 18,113,75.7,63463,21.5,9.1
Trinity,06105,2014,Under 18,15,70.3,13786,4.3,2.7
Tulare,06107,2014,Under 18,1126,77.2,442179,91.7,29.4
Tuolumne,06109,2014,Under 18,68,76.2,55365,24.9,14.1
Ventura,06111,2014,Under 18,1250,61.6,823318,446.7,152.8
Yolo,06113,2014,Under 18,268,61.5,200849,197.9,74
Yuba,06115,2014,Under 18,85,40.6,72155,114.2,43.7
Alameda,06001,2013,Under 18,3269,92.6,1510271,2043.6,788.3
Amador,06005,2013,Under 18,52,91.9,38091,64.1,30.3
Butte,06007,2013,Under 18,275,61.5,220000,134.4,58.6
Calaveras,06009,2013,Under 18,60,78.7,45578,44.7,27.4
Colusa,06011,2013,Under 18,38,62.5,21419,18.6,6.9
Contra Costa,06013,2013,Under 18,2251,91.5,1049025,1465.2,559.1
Del Norte,06015,2013,Under 18,48,85.1,28610,28.4,11.1
El Dorado,06017,2013,Under 18,135,37.7,181058,106,51.6
Fresno,06019,2013,Under 18,3814,134.4,930450,156.2,53
Glenn,06021,2013,Under 18,33,43.5,28122,21.4,8.2
Humboldt,06023,2013,Under 18,205,79.3,134623,37.7,17.3
Imperial,06025,2013,Under 18,709,136.3,174528,41.8,13.4
Inyo,06027,2013,Under 18,30,82.5,18546,1.8,0.9
Kern,06029,2013,Under 18,2394,92.3,839631,103.3,35
Kings,06031,2013,Under 18,558,131.9,152982,110.1,31.6
Lake,06033,2013,Under 18,96,75.1,64665,51.5,28.2
Lassen,06035,2013,Under 18,37,67.3,34895,7.7,2.8
Los Angeles,06037,2013,Under 18,20386,87.9,9818605,2419.6,849
Madera,06039,2013,Under 18,492,113.3,150865,70.6,23
Marin,06041,2013,Under 18,183,36.4,252409,485.1,213.7
Mariposa,06043,2013,Under 18,18,61.9,18251,12.6,7
Mendocino,06045,2013,Under 18,104,55.2,87841,25.1,11.5
Merced,06047,2013,Under 18,965,122.1,255793,132.2,43.3
Monterey,06053,2013,Under 18,989,85.6,415057,126.5,42.4
Napa,06055,2013,Under 18,161,53.2,136484,182.4,73.2
Nevada,06057,2013,Under 18,61,37.7,98764,103.1,54.9
Orange,06059,2013,Under 18,3901,54.6,3010232,3807.7,1326.8
Placer,06061,2013,Under 18,332,40.9,348432,247.6,108.5
Plumas,06063,2013,Under 18,29,89.3,20007,7.8,6.1
Riverside,06065,2013,Under 18,3824,63.7,2189641,303.8,111.1
Sacramento,06067,2013,Under 18,3035,84,1418788,1470.8,576.3
San Benito,06069,2013,Under 18,117,77.8,55269,39.8,12.9
San Bernardino,06071,2013,Under 18,5278,92.3,2035210,101.5,34.9
San Diego,06073,2013,Under 18,4816,65,3095313,735.8,276.9
San Francisco,06075,2013,Under 18,810,62.3,805235,17179.2,8041.8
San Joaquin,06077,2013,Under 18,1691,86.4,685306,492.6,168
San Luis Obispo,06079,2013,Under 18,229,46.4,269637,81.7,35.6
San Mateo,06081,2013,Under 18,770,46.1,718451,1602.2,604.4
Santa Barbara,06083,2013,Under 18,664,67.6,423895,155,55.9
Santa Clara,06085,2013,Under 18,1806,40.5,1781642,1381,489.8
Santa Cruz,06087,2013,Under 18,386,68.7,262382,589.4,234.7
Shasta,06089,2013,Under 18,281,73.4,177223,46.9,20.5
Siskiyou,06093,2013,Under 18,44,50.9,44900,7.2,3.8
Solano,06095,2013,Under 18,966,100.5,413344,503,185.8
Sonoma,06097,2013,Under 18,560,54.2,483878,307.1,129.8
Stanislaus,06099,2013,Under 18,1154,80.3,514453,344.2,120.1
Sutter,06101,2013,Under 18,77,30.3,94737,157.3,56.2
Tehama,06103,2013,Under 18,86,57.1,63463,21.5,9.1
Tulare,06107,2013,Under 18,1097,75,442179,91.7,29.4
Tuolumne,06109,2013,Under 18,72,80.8,55365,24.9,14.1
Ventura,06111,2013,Under 18,1082,53.3,823318,446.7,152.8
Yolo,06113,2013,Under 18,249,57.2,200849,197.9,74
Yuba,06115,2013,Under 18,97,46.7,72155,114.2,43.7
Alameda,06001,2012,Under 18,2952,84.6,1510271,2043.6,788.3
Amador,06005,2012,Under 18,50,88,38091,64.1,30.3
Butte,06007,2012,Under 18,252,54.8,220000,134.4,58.6
Calaveras,06009,2012,Under 18,36,46.5,45578,44.7,27.4
Colusa,06011,2012,Under 18,29,47.5,21419,18.6,6.9
Contra Costa,06013,2012,Under 18,2623,104.1,1049025,1465.2,559.1
Del Norte,06015,2012,Under 18,48,81.4,28610,28.4,11.1
El Dorado,06017,2012,Under 18,168,44.2,181058,106,51.6
Fresno,06019,2012,Under 18,3758,134.1,930450,156.2,53
Glenn,06021,2012,Under 18,32,41.5,28122,21.4,8.2
Humboldt,06023,2012,Under 18,221,82.8,134623,37.7,17.3
Imperial,06025,2012,Under 18,762,152.5,174528,41.8,13.4
Inyo,06027,2012,Under 18,32,86.7,18546,1.8,0.9
