total_pop,pop_density,housing_density,County_name,County
1510271,2043.6,788.3,Alameda County,06001
1175,1.6,2.4,Alpine County,06003
38091,64.1,30.3,Amador County,06005
220000,134.4,58.6,Butte County,06007
45578,44.7,27.4,Calaveras County,06009
21419,18.6,6.9,Colusa County,06011
1049025,1465.2,559.1,Contra Costa County,06013
28610,28.4,11.1,Del Norte County,06015
181058,106.0,51.6,El Dorado County,06017
930450,156.2,53.0,Fresno County,06019
28122,21.4,8.2,Glenn County,06021
134623,37.7,17.3,Humboldt County,06023
174528,41.8,13.4,Imperial County,06025
18546,1.8,0.9,Inyo County,06027
839631,103.3,35.0,Kern County,06029
152982,110.1,31.6,Kings County,06031
64665,51.5,28.2,Lake County,06033
34895,7.7,2.8,Lassen County,06035
9818605,2419.6,849.0,Los Angeles County,06037
150865,70.6,23.0,Madera County,06039
252409,485.1,213.7,Marin County,06041
18251,12.6,7.0,Mariposa County,06043
87841,25.1,11.5,Mendocino County,06045
255793,132.2,43.3,Merced County,06047
9686,2.5,1.3,Modoc County,06049
14202,4.7,4.6,Mono County,06051
415057,126.5,42.4,Monterey County,06053
136484,182.4,73.2,Napa County,06055
98764,103.1,54.9,Nevada County,06057
3010232,3807.7,1326.8,Orange County,06059
348432,247.6,108.5,Placer County,06061
20007,7.8,6.1,Plumas County,06063
2189641,303.8,111.1,Riverside County,06065
1418788,1470.8,576.3,Sacramento County,06067
55269,39.8,12.9,San Benito County,06069
2035210,101.5,34.9,San Bernardino County,06071
3095313,735.8,276.9,San Diego County,06073
805235,17179.2,8041.8,San Francisco County,06075
685306,492.6,168.0,San Joaquin County,06077
269637,81.7,35.6,San Luis Obispo County,06079
718451,1602.2,604.4,San Mateo County,06081
423895,155.0,55.9,Santa Barbara County,06083
1781642,1381.0,489.8,Santa Clara County,06085
262382,589.4,234.7,Santa Cruz County,06087
177223,46.9,20.5,Shasta County,06089
3240,3.4,2.4,Sierra County,06091
44900,7.2,3.8,Siskiyou County,06093
413344,503.0,185.8,Solano County,06095
483878,307.1,129.8,Sonoma County,06097
514453,344.2,120.1,Stanislaus County,06099
94737,157.3,56.2,Sutter County,06101
63463,21.5,9.1,Tehama County,06103
13786,4.3,2.7,Trinity County,06105
442179,91.7,29.4,Tulare County,06107
55365,24.9,14.1,Tuolumne County,06109
823318,446.7,152.8,Ventura County,06111
200849,197.9,74.0,Yolo County,06113
72155,114.2,43.7,Yuba County,06115
