OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,GlobalID,SHAPE_Length,SHAPE_Area
1,2007,CA,CCO,LAC,OCTOBER,00246393,2007/10/21 00:00:00,2007/10/23 00:00:00,14,,,25.736713,8,1,00233414,{D01CD8EC-C3AD-4E68-A83E-E5D84E39251B},2305.25840789102,153290.074730884
2,2007,CA,CCO,LAC,MAGIC,00233077,2007/10/22 00:00:00,2007/10/25 00:00:00,14,,,2824.8772,8,1,00233077,{E5ED1EDE-09C3-4907-B879-2A0C87867BD2},24761.5896440095,16834546.7684073
3,2007,CA,USF,ANF,RANCH,00000166,2007/10/20 00:00:00,2007/11/15 00:00:00,2,,54716,58410.336,7,1,00000166,{B72BF2DA-1D4C-428E-861C-27F82305F6FC},205467.42778704,348868467.174835
4,2007,CA,CCO,LAC,EMMA,00201384,2007/09/11 00:00:00,2007/09/11 00:00:00,14,,,172.21495,8,1,00201384,{D9A747F7-2E9F-418F-8C68-12BC76615853},7431.46791380948,1028760.84878338
5,2007,CA,CCO,LAC,CORRAL,00259483,2007/11/24 00:00:00,2007/11/27 00:00:00,14,,,4707.9971,8,1,00259483,{F3F75516-6D52-4118-A558-66E29C588FEC},27685.171836133,27826958.3735746
6,2007,CA,CCO,LAC,GORMAN,00109398,2007/05/19 00:00:00,2007/05/22 00:00:00,14,,,2373.845,8,1,00109398,{7A650B42-3814-4130-977E-639D1FB763B8},24006.6815147438,14266522.2780645
7,2007,CA,CCO,LAC,WEST,00148311,2007/07/07 00:00:00,2007/07/08 00:00:00,14,,,245.23396,8,1,00148311,{A49C06DE-8570-4E8B-B263-22250B841673},7170.58390706339,1474671.39840015
8,2007,CA,CCO,LAC,PEARBLOSSOM,00177427,2007/08/13 00:00:00,2007/08/14 00:00:00,14,,,81.033501,8,1,00177427,{08A1B022-25E2-4F65-97DA-DC53691A9C22},5011.16501914232,484113.800950322
9,2007,CA,CCO,LAC,SKYLINE,00183643,2007/08/21 00:00:00,2007/08/23 00:00:00,14,,,95.418556,8,1,00183643,{8C9ACAC2-557E-40D3-9785-DC50B510F4B6},4332.95259919261,563161.424143421
10,2007,CA,CCO,LAC,SESNON,00231876,2007/10/21 00:00:00,2007/10/21 00:00:00,14,,,30.301418,8,1,00231876,{3714FACD-129F-4B65-9B03-1BE85A1F2715},2032.10677887701,180152.734634414
11,2007,CA,CCO,LAC,SOLEDAD,00233414,2007/10/22 00:00:00,2007/10/23 00:00:00,14,,,44.16777,8,1,00233414,{353B6815-5A68-4E29-B48B-713120D556FA},2494.11180001473,263363.345097184
12,2007,CA,CCO,LAC,Y,00233912,2007/10/23 00:00:00,,14,,,22.49173,,1,00233912,{8BFC2393-8AD8-49D8-B24E-54CAD3F99C22},2016.15607241837,134216.594354989
13,2007,CA,CDF,MVU,ANGEL 3,00009233,2007/09/15 00:00:00,2007/09/25 00:00:00,4, ,837,832.12653,7,1,00000000,{381AC82F-84BC-425F-8CBE-DAB82210C3A8},21415.5212885297,4810452.81118085
14,2007,CA,CDF,MVU,BANNER,00006310,2007/07/01 00:00:00,2007/07/03 00:00:00,14,,,95.15126,7,1,00000000,{5A8A2F0C-7E44-4FDE-BBBC-541B9E11AF8B},4168.64423771162,549988.746675445
15,2007,CA,CDF,HUU,CHAMBERS,00003235,2007/07/27 00:00:00,2007/07/29 00:00:00,7,,55,54.696358,2,1,00000000,{B9777759-6F9F-43E7-80D0-C2ACE5B15C55},3979.70585918826,381184.89629816
16,2007,CA,CDF,HUU,BROWN,00002877,2007/07/08 00:00:00,2007/07/08 00:00:00,2,,20,18.731773,2,1,00000000,{D204EDBA-9EA7-41D4-B53F-6550CAD3C521},1928.59436469495,130405.313152661
17,2007,CA,CDF,HUU,DRIFTWOOD,00004908,2007/10/25 00:00:00,2007/11/05 00:00:00,14,,70,52.972954,1,1,00000000,{145EFB6C-157E-4B96-BAA6-DB293E5BC1F0},5700.44568840503,367702.325183113
18,2007,CA,CDF,HUU,CAPPEL,00004049,2007/09/05 00:00:00,2007/09/11 00:00:00,14,,20,12.894146,1,1,00000000,{49D9D5DD-83E7-48C6-B5E0-76C644B702A4},2137.55386194766,92464.0130229704
19,2007,CA,CCO,KRN,MOUNTAIN,00717959,2007/07/19 00:00:00,2007/07/19 00:00:00,14,,840.56,840.55829,1,1,00717959,{8F98A712-A559-49A4-9E2D-CB8436DDB359},12536.5276661562,5111543.72059309
20,2007,CA,CCO,KRN,WHITE,00018055,2007/06/24 00:00:00,2007/06/29 00:00:00,2,,12432.15,12432.16,7,1,00718055,{7E7D194E-55EB-4A32-B6B7-2FFA09F5E6CA},51597.6933116449,75126103.1721562
21,2007,CA,USF,KRN,WOFFORD,00000000,2007/05/09 00:00:00,2007/05/13 00:00:00,9, ,567,567.4566,2,1,0713610,{7DDCB81B-F4D9-4D12-9F80-EC3847D9F0A8},8824.77670903859,3492952.34254415
22,2007,CA,CCO,LAC,PEARBLOSSOM,00080271,2007/04/12 00:00:00,2007/04/13 00:00:00,14,,77,77.802773,8,1,00080271,{A95D9409-2C8E-448E-A51A-9C0D27B65C50},6286.10996821588,464902.298666653
23,2007,CA,CCO,LAC,ISLAND,00102481,2007/05/10 00:00:00,2007/05/17 00:00:00,14,,4750,4722.9658,8,1,00102481,{FBC1B2EE-42E5-4A2B-A770-51CC01C7C6CE},36823.8808184176,27470950.2427955
24,2007,CA,CCO,LAC,CANYON,00148415,2007/07/07 00:00:00,,14,,743,743.47992,,1,00148415,{57086A1C-7A5B-46C0-9C82-53DF0802F027},14944.9189727201,4437599.60623127
25,2007,CA,CCO,LAC,FAIRMONT,00193853,2007/09/01 00:00:00,2007/09/08 00:00:00,14,,211,211.62195,8,1,00193853,{228DA0FC-85CF-4AAE-A500-27D4C72069AD},5769.21304747602,1269857.54646789
26,2007,CA,CDF,FKU,AUBERRY,00009400,2007/08/28 00:00:00,2007/09/03 00:00:00,10,,150,150.93607,2,1,00009400,{092A1CFD-01A3-49D5-8710-9B6214CA3C79},4142.71973920571,961143.993136694
27,2007,CA,CDF,FKU,GATOS,00009688,2007/09/02 00:00:00,2007/09/05 00:00:00,1,,100,83.0522,2,1,00009688,{6F0F4490-DDD2-43BF-B7F7-1AD8BC42B9F2},2853.62191712988,517725.616689366
28,2007,CA,LRA,MVU,CORONADO HILLS,00010492,2007/10/22 00:00:00,,14,,,58.794746,3,1,00000000,{C6E1BF14-45E9-4CBB-8AE5-B1BC8CB972A7},2153.98630662125,340145.012625682
29,2007,CA,CCO,LAC,MEADOW RIDGE,00233523,2007/10/23 00:00:00,2007/10/25 00:00:00,14,,,39.108467,8,1,00233523,{75B77BA9-E19C-455D-8CF4-88B19773D0E7},4091.65286380833,232823.720245788
30,2007,CA,CDF,MMU,HIGHWAY 41/ RD 209 3,00005998,2007/05/20 00:00:00,,14,,,329.08093,6,1,00000000,{EF74E227-012C-4FF1-8B0F-318620BD4651},6734.22729165024,2093897.36531839
31,2007,CA,BLM,MVU,BORDER #34,00009128,2007/09/12 00:00:00,2007/09/16 00:00:00,14,,,109.22461,6,1,00000000,{B3080391-2BA5-461D-9D27-9434D6AC8F8B},3614.80464538574,624465.609211318
32,2007,CA,LRA,MVU,78 #4,00006655,2007/07/09 00:00:00,2007/07/10 00:00:00,10,,70,99.97422,6,1,00000000,{7DC9BF4A-8FCA-4550-ACEE-074542DFFE8C},4209.90128200747,577869.067553847
33,2007,CA,CDF,MVU,BORDER #25,00006524,2007/07/06 00:00:00,2007/07/07 00:00:00,4,,50,136.20993,6,1,00000000,{825F555F-63FD-4AE7-9539-CEC7E749869F},4353.41720654234,779717.488787504
34,2007,CA,CDF,MVU,VUELTA,00005764,2007/06/16 00:00:00,2007/06/18 00:00:00,14,,120,214.81335,6,1,00000000,{272E88EB-AD7E-4D46-9F42-4BF4C74045DF},7446.89090358312,1247983.09565387
35,2007,CA,CDF,LMU,WILLOW,00003020,2007/07/06 00:00:00,2007/07/17 00:00:00,1,Timber,75,73.360008,1,2,00000000,{3793DA6B-9494-4A5F-9A83-B878DF0E54FE},4141.94112192422,522675.281051205
36,2007,CA,CDF,LMU,LOOKOUT,00004945,2007/10/02 00:00:00,2007/10/03 00:00:00,5,Grass and Brush Mix,64,64.51181,1,1,00000000,{8579955F-9715-424F-9582-E083EA93FBD3},4456.58392797877,462688.126735439
37,2007,CA,CDF,LMU,PINE,00002692,2007/06/23 00:00:00,2007/07/29 00:00:00,5,Grass and Brush Mix,314,481.78003,1,1,00000000,{9D097C6A-55F8-4B91-84C9-5EC30E4FD89F},7720.9347056361,3362512.75726588
38,2007,CA,CDF,LMU,ISLAND,00002269,2007/06/01 00:00:00,2007/06/04 00:00:00,1,"Grass and sagebrush, outside of SRA.",518,517.56293,1,1,00000000,{48EA6554-E61A-4A8D-8C55-61F0863ABF34},10441.9413875212,3592835.23551104
39,2007,CA,CDF,LNU,HWY 128,00005933,2007/08/14 00:00:00,2007/08/15 00:00:00,14,,368,508.3511,6,1,00000000,{4126B5B3-77AA-4810-AB0D-CE8693A6F9C5},7855.39100602066,3364521.11674852
40,2007,CA,CDF,LNU,PEAK,00004843,2007/07/11 00:00:00,2007/07/11 00:00:00,2,,60,46.321991,5,1,00000000,{CBD8238B-F9CF-42BF-97B4-35F385B4E0EF},3433.48877699183,305474.591213981
41,2007,CA,CDF,LNU,MOUNTAIN,00004247,2007/06/24 00:00:00,2007/06/27 00:00:00,14,,45,49.278236,7,1,00000000,{968F0D07-AF7B-4E12-9BAA-F42FCF78359F},2323.62117327578,326772.236558528
42,2007,CA,CDF,LNU,SPRUCE,00004982,2007/07/15 00:00:00,2007/07/15 00:00:00,11,,,129.01109,5,1,00000000,{FF98C523-A7F3-4EFC-BE5A-4E4444FF788D},5194.01436560537,861916.532437011
43,2007,CA,CDF,LNU,BRAYE,00003042,2007/05/18 00:00:00,2007/05/22 00:00:00,14,,450,636.53021,6,1,00000000,{11966B78-EF88-4638-AD79-B46A4CB100F9},9024.58797634605,4214930.38946356
44,2007,CA,CDF,LNU,ROBINSON,00005400,2007/07/28 00:00:00,2007/07/30 00:00:00,7,Started on Robinson Rancheria,128,121.54822,1,1,00000000,{A1AAA589-9999-4A22-AA73-ACF99B163D8A},5647.22667917874,818807.231870268
45,2007,CA,CDF,LNU,WEST,00005195,2007/07/22 00:00:00,2007/07/22 00:00:00,10,,40,36.99461,6,1,00000000,{391DC50F-54D6-4999-B6A7-1E48F89D11BE},2734.77675291098,247130.643180984
46,2007,CA,LRA,LAC,GRIFFITH PARK,00000000,2007/05/08 00:00:00,,3,NPS from BARC imagery and air photo interp. Presumed accuracy 30m,,747.89838,7,1,00000002,{6F044CEA-DB37-4DD2-96C9-E5D912720F26},15010.920327604,4427910.24398371
47,2007,CA,LRA,LAC,BARHAM,00000000,2007/03/30 00:00:00,2007/03/31 00:00:00,8,"NPS from BARC, air photo interp. Presumed accuracy 30m. Suppress by LA City?",,224.32764,7,1,00000001,{C31E036E-58FD-467C-B01E-A0A70118B2D6},6131.23939583745,1328555.59628866
48,2007,CA,CCO,VNC,SMALL HIGHWAY,00000000,2007/06/08 00:00:00,2007/06/08 00:00:00,10,"NPS by ground GPS, presumed cause = automobile, suppressed by VTA Co?",,0.132266,1,1,00000002,{2124B51F-20E6-4A79-9BE9-73361C9ABE2C},136.914182529282,784.126019076629
49,2007,CA,CCO,VNC,RABBIT HILL,00000000,2007/10/21 00:00:00,2007/10/21 00:00:00,14,VTACO prob suppress. NPS map by recon & airpic interp. Cause unkn. Accuracy 15m,,16.840963,7,1,00000003,{9381CF98-9CCA-4369-8C0F-613D36C669B1},1202.59608807389,99854.8270807265
50,2007,CA,CCO,VNC,ROADSIDE,00000000,2007/04/30 00:00:00,2007/04/30 00:00:00,9,"VTACO prob suppress.  NPS map ground GPS, in threat zone, accuracy 10m",,0.32058397,1,1,00000001,{E8AF5310-7A9B-4D05-9B00-C2A294BBE001},237.547150652687,1901.01148196699
51,2007,CA,CCO,VNC,DEER RIDGE,00000239,2007/04/01 00:00:00,2007/04/01 00:00:00,9,"By NPS LE (ground GPS?), presumed accuracy 30m. cause unkn, presumed human",0.3,0.30896154,7,1,00000239,{E73961B4-A656-4B6D-A882-A84C4C94233F},151.855275977811,1830.38129872005
52,2007,CA,CCO,LAC,TRIUNFO,00000313,2007/05/09 00:00:00,2007/05/09 00:00:00,9,"NPS from unkn source. Presumed accuracy 30m, cause unkn, presumed human",0.2,0.30898094,8,1,00000313,{5F0E43CE-9569-445E-9B9D-0A742C689EED},151.80817231436,1829.24527665899
53,2007,CA,CCO,ORC,241 (HAYSTACK),00000000,2007/05/26 00:00:00,,10, ,,0.23822019,,1,00000000,{99E2E8A2-F6F5-4020-84D6-BAF0326F7F3D},644.165030147161,1399.7706348209
54,2007,CA,CCO,ORC,PIONEER,00000000,2007/05/26 00:00:00,,8, ,,0.33881804,,1,00034237,{610F516B-238F-4D10-827B-6627958CDAF5},231.983936507886,1989.20245134939
