January - December 2012 California County Precipitation
Units: Inches
Missing: -99, Rank out of 126 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CA-001,"Alameda County",20.78,83,2.03,18.75
CA-003,"Alpine County",35.65,73,-0.49,36.14
CA-005,"Amador County",40.6,86,5.37,35.23
CA-007,"Butte County",53.46,98,9.05,44.41
CA-009,"Calaveras County",37.79,81,3.52,34.27
CA-011,"Colusa County",29.95,110,7.95,22
CA-013,"Contra Costa County",23.25,99,4.76,18.49
CA-015,"Del Norte County",102.62,113,22.63,79.99
CA-017,"El Dorado County",52.88,95,8.24,44.64
CA-019,"Fresno County",16.34,45,-3.26,19.6
CA-021,"Glenn County",28.93,84,3.05,25.88
CA-023,"Humboldt County",74.5,97,11.11,63.39
CA-025,"Imperial County",2.48,43,-0.9,3.38
CA-027,"Inyo County",4.06,27,-2.18,6.24
CA-029,"Kern County",5.81,19,-3.24,9.05
CA-031,"Kings County",5.6,38,-2.01,7.61
CA-033,"Lake County",53.91,98,10.45,43.46
CA-035,"Lassen County",21.64,78,1.24,20.4
CA-037,"Los Angeles County",9.31,25,-6.25,15.56
CA-039,"Madera County",20.75,58,-2.37,23.12
CA-041,"Marin County",44.26,100,8.78,35.48
CA-043,"Mariposa County",29.99,58,-2.82,32.81
CA-045,"Mendocino County",59.58,91,7.97,51.61
CA-047,"Merced County",10.16,59,-1.11,11.27
CA-049,"Modoc County",17.61,62,-0.46,18.07
CA-051,"Mono County",14.18,57,-1.45,15.63
CA-053,"Monterey County",19.94,70,-0.16,20.1
CA-055,"Napa County",39.43,102,8.33,31.1
CA-057,"Nevada County",62.85,105,12.48,50.37
CA-059,"Orange County",8.62,29,-4.93,13.55
CA-061,"Placer County",54.97,97,9.2,45.77
CA-063,"Plumas County",52.28,103,11.07,41.21
CA-065,"Riverside County",6.21,39,-2.28,8.49
CA-067,"Sacramento County",22.58,96,3.89,18.69
CA-069,"San Benito County",16.7,67,-0.04,16.74
CA-071,"San Bernardino County",5.06,38,-1.8,6.86
CA-073,"San Diego County",9.8,30,-4.49,14.29
CA-075,"San Francisco County",30.87,100,6.57,24.3
CA-077,"San Joaquin County",15.68,84,1.63,14.05
CA-079,"San Luis Obispo County",13.9,48,-3.26,17.16
CA-081,"San Mateo County",33.17,88,4.51,28.66
CA-083,"Santa Barbara County",12.51,28,-6.33,18.84
CA-085,"Santa Clara County",25.16,83,2.05,23.11
CA-087,"Santa Cruz County",36.02,81,2.97,33.05
CA-089,"Shasta County",50.76,101,8.82,41.94
CA-091,"Sierra County",54.97,96,9.22,45.75
CA-093,"Siskiyou County",45.16,99,6.35,38.81
CA-095,"Solano County",24.88,101,5.09,19.79
CA-097,"Sonoma County",51.03,98,9.01,42.02
CA-099,"Stanislaus County",14.2,75,0.55,13.65
CA-101,"Sutter County",22.78,97,3.8,18.98
CA-103,"Tehama County",43.09,97,6.58,36.51
CA-105,"Trinity County",69.0,99,11.51,57.49
CA-107,"Tulare County",18.29,47,-3.55,21.84
CA-109,"Tuolumne County",42.11,75,1.27,40.84
CA-111,"Ventura County",12.34,28,-8.07,20.41
CA-113,"Yolo County",25.72,101,5.71,20.01
CA-115,"Yuba County",48.71,106,10.98,37.73
