Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,69.5,111,1.9,67.6
CA-003,Alpine County,59.7,118,2.5,57.2
CA-005,Amador County,73.2,117,2.6,70.6
CA-007,Butte County,74.5,112,1.8,72.7
CA-009,Calaveras County,73.3,112,2,71.3
CA-011,Colusa County,76.1,113,1.8,74.3
CA-013,Contra Costa County,71,112,1.9,69.1
CA-015,Del Norte County,64.4,117,2.2,62.2
CA-017,El Dorado County,69.3,116,2.2,67.1
CA-019,Fresno County,71.5,119,3,68.5
CA-021,Glenn County,75,104,1.3,73.7
CA-023,Humboldt County,65.9,117,2.3,63.6
CA-025,Imperial County,91.1,119,2.8,88.3
CA-027,Inyo County,79.9,123,3.4,76.5
CA-029,Kern County,78.6,120,3,75.6
CA-031,Kings County,80.1,123,3.1,77
CA-033,Lake County,71.7,116,1.9,69.8
CA-035,Lassen County,64,115,2.4,61.6
CA-037,Los Angeles County,75.2,122,3.7,71.5
CA-039,Madera County,71.8,115,2.4,69.4
CA-041,Marin County,61.8,98,1.2,60.6
CA-043,Mariposa County,71.4,117,2.7,68.7
CA-045,Mendocino County,67.1,115,1.5,65.6
CA-047,Merced County,76.9,121,2.6,74.3
CA-049,Modoc County,63.4,116,2.5,60.9
CA-051,Mono County,61.5,122,3.1,58.4
CA-053,Monterey County,69,116,2.2,66.8
CA-055,Napa County,71.2,109,1.6,69.6
CA-057,Nevada County,67.4,115,2.1,65.3
CA-059,Orange County,73.4,120,3.2,70.2
CA-061,Placer County,68.8,115,2.2,66.6
CA-063,Plumas County,63.4,114,2.3,61.1
CA-065,Riverside County,84.7,117,2.9,81.8
CA-067,Sacramento County,75.6,118,2.2,73.4
CA-069,San Benito County,72.2,119,2.9,69.3
CA-071,San Bernardino County,84.9,120,3.1,81.8
CA-073,San Diego County,75.6,120,3.2,72.4
CA-075,San Francisco County,62,96,1.1,60.9
CA-077,San Joaquin County,74.9,109,1.8,73.1
CA-079,San Luis Obispo County,71.4,117,2.7,68.7
CA-081,San Mateo County,63.5,112,2.1,61.4
CA-083,Santa Barbara County,68.7,120,3.2,65.5
CA-085,Santa Clara County,69.7,118,2.7,67
CA-087,Santa Cruz County,65.2,116,2.6,62.6
CA-089,Shasta County,71.6,118,2.7,68.9
CA-091,Sierra County,62.6,112,2.3,60.3
CA-093,Siskiyou County,64.7,114,2.5,62.2
CA-095,Solano County,72.1,103,1.4,70.7
CA-097,Sonoma County,65.9,106,1.4,64.5
CA-099,Stanislaus County,75.7,120,2.4,73.3
CA-101,Sutter County,77.3,115,2.2,75.1
CA-103,Tehama County,74.5,115,1.9,72.6
CA-105,Trinity County,68.4,120,2.7,65.7
CA-107,Tulare County,70.1,114,2.5,67.6
CA-109,Tuolumne County,65.7,115,2.3,63.4
CA-111,Ventura County,69.8,117,3.5,66.3
CA-113,Yolo County,75.5,111,1.7,73.8
CA-115,Yuba County,75.4,115,2.1,73.3
